quest_id,patch,patch_code,id_first,poi_first,source
1,7.3.5,70305,7.3.5,,at_or_before
2,7.3.5,70305,7.3.5,,at_or_before
5,7.3.5,70305,7.3.5,,at_or_before
6,7.3.5,70305,7.3.5,,at_or_before
7,7.3.5,70305,7.3.5,,at_or_before
8,7.3.5,70305,7.3.5,,at_or_before
9,7.3.5,70305,7.3.5,,at_or_before
10,7.3.5,70305,7.3.5,,at_or_before
11,7.3.5,70305,7.3.5,7.3.5,at_or_before
12,7.3.5,70305,7.3.5,,at_or_before
13,7.3.5,70305,7.3.5,,at_or_before
14,7.3.5,70305,7.3.5,,at_or_before
15,7.3.5,70305,7.3.5,,at_or_before
17,7.3.5,70305,7.3.5,,at_or_before
18,7.3.5,70305,7.3.5,,at_or_before
19,7.3.5,70305,7.3.5,,at_or_before
20,7.3.5,70305,7.3.5,,at_or_before
21,7.3.5,70305,7.3.5,,at_or_before
22,7.3.5,70305,7.3.5,,at_or_before
23,7.3.5,70305,7.3.5,,at_or_before
24,7.3.5,70305,7.3.5,,at_or_before
25,7.3.5,70305,7.3.5,,at_or_before
26,7.3.5,70305,7.3.5,,at_or_before
27,7.3.5,70305,7.3.5,,at_or_before
28,7.3.5,70305,7.3.5,,at_or_before
29,7.3.5,70305,7.3.5,,at_or_before
30,7.3.5,70305,7.3.5,,at_or_before
31,7.3.5,70305,7.3.5,,at_or_before
32,7.3.5,70305,7.3.5,,at_or_before
33,7.3.5,70305,7.3.5,,at_or_before
34,7.3.5,70305,7.3.5,,at_or_before
35,7.3.5,70305,7.3.5,7.3.5,at_or_before
36,7.3.5,70305,7.3.5,,at_or_before
37,7.3.5,70305,7.3.5,7.3.5,at_or_before
38,7.3.5,70305,7.3.5,,at_or_before
39,7.3.5,70305,7.3.5,,at_or_before
40,7.3.5,70305,7.3.5,7.3.5,at_or_before
45,7.3.5,70305,7.3.5,7.3.5,at_or_before
46,7.3.5,70305,7.3.5,7.3.5,at_or_before
47,7.3.5,70305,7.3.5,7.3.5,at_or_before
48,7.3.5,70305,7.3.5,,at_or_before
49,7.3.5,70305,7.3.5,,at_or_before
50,7.3.5,70305,7.3.5,,at_or_before
51,7.3.5,70305,7.3.5,,at_or_before
52,7.3.5,70305,7.3.5,7.3.5,at_or_before
53,7.3.5,70305,7.3.5,,at_or_before
54,9.1.0,90100,7.3.5,9.1.0,poi_after_id
55,7.3.5,70305,7.3.5,,at_or_before
56,7.3.5,70305,7.3.5,,at_or_before
57,7.3.5,70305,7.3.5,,at_or_before
58,7.3.5,70305,7.3.5,,at_or_before
59,7.3.5,70305,7.3.5,7.3.5,at_or_before
60,7.3.5,70305,7.3.5,7.3.5,at_or_before
61,7.3.5,70305,7.3.5,,at_or_before
62,7.3.5,70305,7.3.5,7.3.5,at_or_before
63,7.3.5,70305,7.3.5,,at_or_before
64,7.3.5,70305,7.3.5,,at_or_before
65,7.3.5,70305,7.3.5,,at_or_before
66,7.3.5,70305,7.3.5,,at_or_before
67,7.3.5,70305,7.3.5,,at_or_before
68,7.3.5,70305,7.3.5,,at_or_before
69,7.3.5,70305,7.3.5,,at_or_before
70,7.3.5,70305,7.3.5,,at_or_before
71,7.3.5,70305,7.3.5,7.3.5,at_or_before
